continent,iso_code,location,year,month,weekday,date,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,tests_units
North America,CRI,Costa Rica,2020,12,3,2020-12-24,,,,,,,
North America,CRI,Costa Rica,2020,12,4,2020-12-25,,,,,,,
North America,CRI,Costa Rica,2020,12,5,2020-12-26,,,,,,,
North America,CRI,Costa Rica,2020,12,6,2020-12-27,,,,,,,
North America,CRI,Costa Rica,2020,12,0,2020-12-28,,,,,,,
North America,CRI,Costa Rica,2020,12,1,2020-12-29,,,,,,,
North America,CRI,Costa Rica,2020,12,2,2020-12-30,,,,,,,
North America,CRI,Costa Rica,2020,12,3,2020-12-31,,,,,,,
North America,CRI,Costa Rica,2021,1,4,2021-01-01,,,,,,,
North America,CRI,Costa Rica,2021,1,5,2021-01-02,,,,,,,
North America,CRI,Costa Rica,2021,1,6,2021-01-03,,,,,,,
North America,CRI,Costa Rica,2021,1,0,2021-01-04,,,,,,,
North America,CRI,Costa Rica,2021,1,1,2021-01-05,,,,,,,
North America,CRI,Costa Rica,2021,1,2,2021-01-06,,,,,,,
North America,CRI,Costa Rica,2021,1,3,2021-01-07,,,,,,,
North America,CRI,Costa Rica,2021,1,4,2021-01-08,,,,,,,
North America,CRI,Costa Rica,2021,1,5,2021-01-09,,,,,,,
North America,CRI,Costa Rica,2021,1,6,2021-01-10,,,,,,,
North America,CRI,Costa Rica,2021,1,0,2021-01-11,,,,,,,
North America,CRI,Costa Rica,2021,1,1,2021-01-12,,,,,,,
North America,CRI,Costa Rica,2021,1,2,2021-01-13,,,,,,,
North America,CRI,Costa Rica,2021,1,3,2021-01-14,,,,,,,
North America,CRI,Costa Rica,2021,1,4,2021-01-15,,,,,,,
North America,CRI,Costa Rica,2021,1,5,2021-01-16,,,,,,,
North America,CRI,Costa Rica,2021,1,6,2021-01-17,,,,,,,
North America,CRI,Costa Rica,2021,1,0,2021-01-18,,,,,,,
North America,CRI,Costa Rica,2021,1,1,2021-01-19,,,,,,,
North America,CRI,Costa Rica,2021,1,2,2021-01-20,,,,,,,
North America,CRI,Costa Rica,2021,1,3,2021-01-21,,,,,,,
North America,CRI,Costa Rica,2021,1,4,2021-01-22,,,,,,,
North America,CRI,Costa Rica,2021,1,5,2021-01-23,,,,,,,
North America,CRI,Costa Rica,2021,1,6,2021-01-24,,,,,,,
North America,CRI,Costa Rica,2021,1,0,2021-01-25,,,,,,,
North America,CRI,Costa Rica,2021,1,1,2021-01-26,,,,,,,
North America,CRI,Costa Rica,2021,1,2,2021-01-27,,,,,,,
North America,CRI,Costa Rica,2021,1,3,2021-01-28,,,,,,,
North America,CRI,Costa Rica,2021,1,4,2021-01-29,,,,,,,
North America,CRI,Costa Rica,2021,1,5,2021-01-30,,,,,,,
North America,CRI,Costa Rica,2021,1,6,2021-01-31,,,,,,,
North America,CRI,Costa Rica,2021,2,0,2021-02-01,,,,,,,
North America,CRI,Costa Rica,2021,2,1,2021-02-02,,,,,,,
North America,CRI,Costa Rica,2021,2,2,2021-02-03,,,,,,,
North America,CRI,Costa Rica,2021,2,3,2021-02-04,,,,,,,
North America,CRI,Costa Rica,2021,2,4,2021-02-05,,,,,,,
North America,CRI,Costa Rica,2021,2,5,2021-02-06,,,,,,,
North America,CRI,Costa Rica,2021,2,6,2021-02-07,,,,,,,
North America,CRI,Costa Rica,2021,2,0,2021-02-08,,,,,,,
North America,CRI,Costa Rica,2021,2,1,2021-02-09,,,,,,,
North America,CRI,Costa Rica,2021,2,2,2021-02-10,,,,,,,
North America,CRI,Costa Rica,2021,2,3,2021-02-11,,,,,,,
North America,CRI,Costa Rica,2021,2,4,2021-02-12,,,,,,,
North America,CRI,Costa Rica,2021,2,5,2021-02-13,,,,,,,
North America,CRI,Costa Rica,2021,2,6,2021-02-14,,,,,,,
North America,CRI,Costa Rica,2021,2,0,2021-02-15,,,,,,,
North America,CRI,Costa Rica,2021,2,1,2021-02-16,,,,,,,
North America,CRI,Costa Rica,2021,2,2,2021-02-17,,,,,,,
North America,CRI,Costa Rica,2021,2,3,2021-02-18,,,,,,,
North America,CRI,Costa Rica,2021,2,4,2021-02-19,,,,,,,
North America,CRI,Costa Rica,2021,2,5,2021-02-20,,,,,,,
North America,CRI,Costa Rica,2021,2,6,2021-02-21,,,,,,,
North America,CRI,Costa Rica,2021,2,0,2021-02-22,,,,,,,
North America,CRI,Costa Rica,2021,2,1,2021-02-23,,,,,,,
North America,CRI,Costa Rica,2021,2,2,2021-02-24,,,,,,,
